,label,title,subtitle,content,author,source,publishing_date,likes_shares_reads,number_likes_shares_reads,source.1,false_claim,Snoopes category ,rationale,category,sentiment,irony,toxicity,hate_speech,readability,truthfulness cat,displayed truthfulness rating,salient features (highlights),sentiment analysis (4 cat/highlights),readability ,readability categories,natural language explanation
0,TRUE,A Lawsuit Claims Skittles Are Unfit for Consumption. Experts Weigh In.,"They contain the food additive titanium dioxide, which is in thousands of food products. Here’s what we learned about its safety.","If you’ve been paying attention to nutrition headlines lately, you may have noticed a recent lawsuit that claimed that Skittles — the colorful candies of “taste the rainbow” fame — were “unfit for human consumption” because of the presence of a “known toxin” called titanium dioxide. Titanium dioxide is a chemical compound, derived from a naturally occurring mineral, that is processed and used as a color additive, anti-caking agent and whitener, among other things, in thousands of food products across a range of categories. These include many chewing gums, baked goods, sandwich spreads, salad dressings and dairy products like cottage cheese, ice cream and coffee creamers, said Tasha Stoiber, a senior scientist at the Environmental Working Group, a nonprofit focused on consumer health and safety. Since 1966, the Food and Drug Administration has recognized the use of titanium dioxide in human food as safe, so long as it doesn’t exceed 1 percent of the food’s weight. But despite its widespread use, studies published since the 1960s have raised questions about its safety. A 2015 review of mostly animal (but some human) studies, for instance, found that titanium dioxide did not just pass through the body, as research in the 1960s suggested. Instead, the researchers found, the additive could be absorbed into the bloodstream via the intestines and accumulate in certain organs, potentially damaging the spleen, liver and kidneys.",Rachel Rabkin Peachman,New York Times,7/26/2022,comments,168,https://www.nytimes.com/2022/07/26/well/eat/skittles-lawsuit-titanium-dioxide.html,,,,health,slightly negative,not irony,not offensive,not hate,12.5,,,,,,,
1,TRUE,Study Finds Another Condition That Vitamin D Pills Do Not Help,"The vitamin pills do not prevent bone fractures in most people or protect against many other diseases, adding to questions about medical guidance many now take for granted.","The idea made so much sense it was almost unquestioningly accepted: Vitamin D pills can protect bones from fractures. After all, the body needs the vitamin for the gut to absorb calcium, which bones need to grow and stay healthy.But now, in the first large randomized controlled study in the United States, funded by the federal government, researchers report that vitamin D pills taken with or without calcium have no effect on bone fracture rates. The results, published Thursday in The New England Journal of Medicine, hold for people with osteoporosis and even those whose blood tests deemed them vitamin D deficient. So, for the millions of Americans who take vitamin D supplements and the labs that do more than 10 million vitamin D tests each year, an editorial published along with the paper has some advice: Stop. “Providers should stop screening for 25-hydroxyvitamin D levels or recommending vitamin D supplements and people should stop taking vitamin D supplements in order to prevent major diseases or extend life,” wrote Dr. Steven R. Cummings, a research scientist at the California Pacific Medical Center Research Institute, and Dr. Clifford Rosen, a senior scientist at the the MaineHealth Institute for Research. Dr. Rosen is an editor at The New England Journal of Medicine.",Gina Kolata,New York Times,7/27/2022,,,https://www.nytimes.com/2022/07/27/health/vitamin-d-bone-fractures.html,,,,health,negative,not irony,not offensive,not hate,13,,,,,,,
2,TRUE,"Permanent Daylight Saving Time will hurt our health, experts say",,"The end of Daylight Saving Time is upon us again, an autumn tradition when the United States, Europe, most of Canada and a number of other countries move their clocks backwards an hour in a sort of Groundhog Day trust fall. We’ll move them forward (again) next spring when governments put daylight saving back in place. But are we putting our trust in an unhealthy, outdated idea? When our internal clocks are offset from the solar day-night cycle by even one hour we develop what sleep experts call “social jet lag.” Studies have shown social jet lag increases the risk of metabolic disorders such as diabetes, raises the risk of heart disease and stroke, worsens mood disorders such as depression, affects the digestive and endocrine systems and shortens our sleep duration. It can even reduce life expectancy,A 2003 study found getting one hour less sleep for two weeks had the same effect on thinking and motor skills as going without sleep for two full nights. Reducing sleep by 90 minutes from the recommended 7 to 8 hours for adults altered the DNA of immune cells and boosted inflammation, a key cause of chronic disease, according to another study. Making the time change permanent would make the chronic effects of any sleep loss more severe, not only “because we have to go to work an hour earlier for an additional 5 months every year but also because body clocks are usually later in winter than in summer with reference to the sun clock,” according to a statement from the Society for Research on Biological Rhythms.","Sandee LaMotte,",CNN,11/6/2022,,,,,,,health,negative,not irony,not offensive,not hate,14.3,,,,,,,
3,TRUE,You may inhale: German Cabinet backs plan to legalize cannabis,Germany to run reform plan past European Commission.,"The German government backed a plan presented by Health Minister Karl Lauterbach on Wednesday to legalize cannabis, but the European Commission will get a say on whether it can become law. Lauterbach told reporters that the so-called cornerstone paper details the conditions under which cannabis can be legally produced and sold, and how to regulate possession. He added that he does not want to sell this paper as a “major breakthrough in drug policy” as it still has to be confirmed that this complies with international and European law. The plan approved by Chancellor Olaf Scholz’s Cabinet would decriminalize the possession of 20 to 30 grams of cannabis by adults. It would also be legal to cultivate up to three cannabis plants at home, which is more than what an earlier paper that was leaked last week, proposed.",y Wilhelmine Preussen,politico,10/26/2022,,,,,,,health,slightly positive,irony,not offensive,not hate,12.3,,,,,,,
4,TRUE,Even less than recommended amounts of caffeine while pregnant could impact your child’s life,,"Starting the day with a hot cup of caffeinated coffee or tea may sound divine to some, but it could have negative impacts for the children of people who are pregnant, according to a new study. Children who were exposed to small amounts of caffeine before birth were found on average to be shorter than the children of people who did not consume caffeine while pregnant, according to the study published Monday in JAMA Network Open. Children of parents who consumed caffeine while they were in the womb were shown to be shorter in stature at age 4 than those whose parents did not — and the gap widened each year through age 8, according to lead author Dr. Jessica Gleason, a perinatal epidemiologist. For context, a mug of caffeinated tea typically has about 75 milligrams of caffeine, a mug of instant coffee has about 100 milligrams and a mug of filtered coffee has about 140 milligrams, according to the Cleveland Clinic. And even chocolate has about 31 milligrams of caffeine. But the differences found in the most recent study were found even in the children of parents who drank less than half a cup of coffee per day while pregnant — well below the current guidelines, Gleason said.","Madeline Holcombe,",CNN,10/31/2022,,,https://edition.cnn.com/2022/10/31/health/caffeine-stature-early-childhood-study-wellness/index.html,True ,,,health,slightly negative,not irony,not offensive,not hate,13.3,50-80%,76%,"Starting the day with a hot cup of caffeinated coffee or tea may sound divine to some, but  <mark>it could have negative impacts for the children of people who are pregnant </mark>, according to a new study. Children who were exposed to small amounts of caffeine before birth were <mark>found on average to be shorter than the children of people who did not consume caffeine while pregnant </mark>, according to the study published Monday in JAMA Network Open. Children of parents who consumed caffeine while they were in the womb were shown to <mark>be shorter in stature at age 4 than those whose parents did not — and the gap widened each year through age 8, according to lead author Dr. Jessica Gleason</mark>, a perinatal epidemiologist. For context, a mug of caffeinated tea typically has about 75 milligrams of caffeine, a mug of instant coffee has about 100 milligrams and a mug of filtered coffee has about 140 milligrams, according to the Cleveland Clinic. And even chocolate has about 31 milligrams of caffeine. But the differences found in the most recent study were found even in the children of parents who drank less than half a cup of coffee per day while pregnant — well below the current guidelines, Gleason said.",slightly negative,13.3,hard,"It’s not clear whether this study effectively shows causation between maternal caffeine consumption and child height. The correlation observed in this study can be explained by the existence of a common cause of both caffeine consumption and growth restriction e.g., poverty, stress, and dietary factors."
5,TRUE,‘Miracle’ baby opens debate over possible use of centuries-old sperm,Technology allows sperm to be frozen longer than legal 50-year limit but poses medical and ethical questions,"A change of law has paved the way for more babies to be born from sperm frozen up to 50 years ago, but experts say there is no scientific reason why sperm hundreds of years old cannot be used. This week, a boy was born using sperm frozen in 1996, collected when his father was diagnosed, aged 21, with Hodgkin lymphoma, in case his treatment caused infertility. While conserving sperm for decades could theoretically enable children to be born from historical figures, this would not be possible in the UK at present, where the law prevents the creation of a sperm market and limits its use to 10 families per donor. Allan also questioned the likelihood of such a scheme’s success: the world’s first Nobel prize-winner sperm bank closed due to limited demand. If very old sperm was used, for example, from 250 years previously, this could raise ethical questions, he said, because society and people’s genomes may have changed radically. Although these remained “science fiction worries” given sperm freezing only began in the 1950s, he added. In the meantime, old sperm provides an opportunity for people who might not otherwise have been able to have a family to become parents.",Rachel Hall,The Guardian,10/28/2022,,,https://www.theguardian.com/science/2022/oct/28/miracle-baby-opens-debate-over-possible-use-of-centuries-old-sperm,True ,,,health,negative,not irony,not offensive,not hate,14.8,80-100%,92%,"A change of law has paved the way for more babies to be born from sperm frozen up to 50 years ago, but experts say there is no scientific reason <mark>why sperm hundreds of years old cannot be used</mark>. This week, a boy was born using sperm frozen in 1996, collected when his father was diagnosed, aged 21, with Hodgkin lymphoma, in case his treatment caused infertility. While <mark>conserving sperm for decades could theoretically enable children to be born from historical figures</mark>, this would not be possible in the UK at present, where the <mark>law prevents the creation of a sperm market</mark> and limits its use to 10 families per donor. Allan also questioned the likelihood of such a scheme’s success: the world’s first Nobel prize-winner sperm bank closed due to limited demand. If <mark>very old sperm was used, for example, from 250 years previously, this could raise ethical questions</mark>, he said, because society and <mark>people’s genomes may have changed radically</mark>. Although these remained “science fiction worries” given sperm freezing only began in the 1950s, he added. In the meantime, <mark>old sperm provides an opportunity for people who might not otherwise have been able to have a family</mark> to become parents.",negative,14.8,hard,A new law allows using sperm which is up to 50 years old. Scientists have shown that also old sperm can be sucessfully used to give birth to babies. 
6,FAKE,"Young adult cannabis consumers nearly twice as likely to suffer from a heart attack, research shows",,"(CNN) — Whether you smoke it, vape it or eat it as an edible, cannabis may be significantly increasing your risk of a heart attack. Adults under 45 years old who consumed cannabis within the last 30 days, suffered from nearly double the number of heart attacks than adults who didn't use the drug, according to research published Tuesday in the Canadian Medical Association Journal. Researchers analyzed health data from over 33,000 adults ages 18 to 44 included in US Centers for Disease Control and Prevention surveys in 2017 and 2018. Of the 17% of adults who reported using cannabis within the previous month, 1.3% later had a heart attack while only 0.8% of non-cannabis users reported the same. When someone's heart rate becomes irregular, it can increase the amount of oxygen the heart needs, Ladha explained. At the same time, cannabis can also limit the amount of oxygen delivered to the heart, he added. ""What you end up having is this mismatch of oxygen supply and demand which fundamentally leads to heart attacks,"" Ladha said.",Megan Marples,cnn,9/7/2021,,,https://healthfeedback.org/evaluation/cnn-article-accurately-reports-an-increased-risk-of-heart-attack-from-cannabis-use-in-young-people-but-lacks-context-on-difference-between-absolute-and-relative-risk/,"Adults under 45 years old who consumed cannabis within the last 30 days, suffered from nearly double the number of heart attacks than adults who didn't use the drug",,,health,negative,not irony,not offensive,not hate,10.4,20-50%,48%,"Whether you smoke it, vape it or eat it as an edible, cannabis may be significantly increasing your risk of a heart attack. Adults under 45 years old who consumed <mark>cannabis within the last 30 days, suffered from nearly double the number of heart attacks</mark> than adults who didn't use the drug, according to research published Tuesday in the Canadian Medical Association Journal. Researchers analyzed health data from over 33,000 adults ages 18 to 44 included in US Centers for Disease Control and Prevention surveys in 2017 and 2018. Of the 17% of adults who reported using cannabis within the previous month, <mark>1.3% later had a heart attack while only 0.8% of non-cannabis users reported the same</mark>. When someone's heart rate becomes irregular, it can increase the amount of oxygen the heart needs, Ladha explained. At the same time, cannabis can also limit the amount of oxygen delivered to the heart, he added. ""What you end up having is this mismatch of oxygen supply and demand which fundamentally leads to heart attacks,"" Ladha said.",negative,10.4,medium,"The article confuses relative and absolute risk. People who do not consume cannabis are likely to suffer from cardiac problems is a little below 1% and people who regularly consume cannabis have heart problems a little above 1%. When we consider the absolute risk it is very unlikely to suffer from additional heart problems when regularly consuming cannabis. However, the article only considers the comparison of relaitve risks and therefore comes to the conclusion that the risk of heart issues doubles when regularly consuming cannabis, but from an absolute perspective, incorporating long-time risks, this does not hold true. "
7,fake,World Health Organization wants to BAN all women aged 18-50 from drinking alcohol,"THE WORLD Health Organization (WHO) says that women of ""child-bearing age"" should be prevented from drinking alcohol.","The notion forms part of their new Global Action Plan on Alcohol, which aims to stop all women aged between 18 and 50-years-old from drinking booze. The draft report states that ""appropriate attention"" should be given to the potential damage alcohol can do to babies while still in the womb, and claims that in order to reduce the impacts, almost all women - not just those who are pregnant - should be prohibited from drinking. ""The suggestion that we should actively prevent a substantial proportion of women from drinking is completely at odds with the balance of the risks of drinking and restrictions on personal freedom that we see in almost any country in the world,"" Mr Angus told the Daily Mail. The WHO's plan aims to raise awareness of alcohol-related harm and its harmful use, but given public reaction, which anyone could have seen coming, they may want to have a rethink on strategy.",Harry Brent,irish post,6/17/2021,,,https://www.politifact.com/factchecks/2021/jun/22/blog-posting/no-who-isnt-trying-ban-women-ages-18-50-drinking-a/,,,,health,negative,not irony,not offensive,not hate,16.4,,,,,,,
8,fake,EXPLOSIVE VIDEO Emerges of Fauci and HHS Officials Plotting for ‘A New Avian Flu Virus’ to Enforce Universal Flu Vaccination,,"Alex Jones of Infowars made a special broadcast on Monday night regarding an explosive video of Fauci with HHS officials and other health experts discussing how to enforce Universal Flu Vaccination in a summit organized by Milken Institute in Washington, DC last October 2019. Alex Jones highlighted three clips from the hour-long video of the summit from C-SPAN which proved the COVID-19 pandemic was planned and the Big Pharma worked with the UN and other corrupt government officials to develop and release the COVID-19 virus ahead of ‘Great Reset’. The first clip featured Michael Specter, a journalist from The New Yorker and also an adjunct professor of bioengineering at Stanford University, Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, and Rick Bright, the director of HHS Biomedical Advanced Research and Development Authority (BARDA). In this video, they conceptualized having a new outbreak of novel avian flu virus from China so they can bypass the method of FDA approval and enforce mRNA vaccine to the masses.",Jim Hoft,gateaway pundit,10/6/2021,,,https://www.politifact.com/factchecks/2021/oct/14/gateway-pundit/fauci-plotting-new-flu-virus-force-vaccinations-pa/,,,,health,slightly negative,irony,not offensive,not hate,21.8,,,,,,,
9,fake,Unbelievable News: Dr. Oz Wins Nobel Prize in Medicine,,"Coming off of the heels of being the top-running host for Jeopardy, Dr. Oz’s amazing year continues with his nomination and acceptance of the Nobel Prize in Physiology or Medicine for his outstanding contributions in challenging the scientific community to push the frontiers of medicine beyond the so-called bounds of reason and evidence. Dr. Oz will add the Nobel prize to his already amazing array of professional accomplishments including 5 Emmy Awards for best “Outstanding Talk Show Informative” (beating out such outstanding shows as The Chew and Dr. Phil) and a hoped for 6th this year. Some critics of this new direction feel that the Nobel Committee is prostituting themselves to stay financially solvent. An article in People noted that the ratings for the Nobel Prize Ceremony were pathetic, far below not only other important awards such as the Oscars, Grammys and Emmys, but even the Adult Video News (AVN) awards, the Razzies, and the Ig Noble Prize. Other nominees for this year’s award included Dr. Dale Bredesen, who proved a novel cure for Alzheimer’s disease using supplements in a landmark uncontrolled case series of 10 people, Dr. David Perlmutter, who demonstrated eating wheat as a cause of almost all human illnesses, and Dr. Andrew Wakefield, who’s discredited article launched the anti-vaccine movement.",BENZI KLUGER,BENZI KLUGER,"April 1, 2021",,,https://benzikluger.com/2021/04/01/unbelievable-news-dr-oz-wins-nobel-prize-in-medicine/,,,,health,positive,not irony,not offensive,not hate,11.2,,,,,,,
